,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,18605.0,19418.0,16277.0,90105.0,15572.0,31593.0,41482.0,21335.0,9738.0,82168.0,100529.0,29313.0,45340.0,14140.0,27020.0,947322.0,28078.0,73766.0,191234.0,524302.0,77204.0
1,44884.0,80667.0,20840.0,74138.0,12924.0,50596.0,31148.0,21164.0,63885.0,44745.0,41358.0,33930.0,38389.0,27602.0,25989.0,343939.0,128557.0,5475.0,35969.0,10623.0,18901.0
2,8505.0,45294.0,14074.0,36995.0,7944.0,12320.0,18654.0,13868.0,15900.0,25012.0,20063.0,26544.0,37856.0,16114.0,22919.0,46194.0,4133.0,5834.0,3072.0,9441.0,12317.0
3,13515.0,30388.0,7830.0,22782.0,56888.0,6759.0,19260.0,6391.0,6054.0,12435.0,19726.0,20956.0,6645.0,23348.0,8548.0,8052.0,11907.0,4617.0,3800.0,8835.0,1895.0
4,13784.0,19531.0,7292.0,12700.0,15585.0,7114.0,7074.0,8319.0,14292.0,4283.0,3314.0,8648.0,13627.0,4072.0,2823.0,19909.0,5394.0,12113.0,1128.0,3227.0,12461.0
5,6135.0,8614.0,2404.0,7261.0,6777.0,8452.0,3600.0,3166.0,5058.0,4334.0,13070.0,4413.0,8008.0,7256.0,4586.0,11716.0,10117.0,4118.0,1826.0,5286.0,3480.0
6,1900.0,2609.0,3243.0,3703.0,1215.0,1123.0,2007.0,4085.0,3262.0,2903.0,2434.0,1511.0,3014.0,1429.0,2135.0,2877.0,5306.0,1002.0,1984.0,2490.0,2060.0
7,3278.0,1343.0,936.0,1407.0,1030.0,1262.0,1745.0,1228.0,1531.0,1667.0,2223.0,1257.0,1397.0,2555.0,941.0,1213.0,1951.0,223.0,525.0,1819.0,665.0
8,27299.0,49919.0,15122.0,35482.0,72473.0,13873.0,26334.0,14710.0,20346.0,16718.0,23040.0,29604.0,20272.0,27420.0,11371.0,27961.0,17301.0,16730.0,4928.0,12062.0,14356.0
9,8035.0,11223.0,5647.0,10964.0,7992.0,9575.0,5607.0,7251.0,8320.0,7237.0,15504.0,5924.0,11022.0,8685.0,6721.0,14593.0,15423.0,5120.0,3810.0,7776.0,5540.0
10,3278.0,1343.0,936.0,1407.0,1030.0,1262.0,1745.0,1228.0,1531.0,1667.0,2223.0,1257.0,1397.0,2555.0,941.0,1213.0,1951.0,223.0,525.0,1819.0,665.0
