,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,700129.0,1181681.0,945957.0,1496424.0,397261.0,132256.0,765593.0,158930.0,51860.0,65688.0,2186905.0,88331.0,740637.0,726069.0,44872.0,2438668.0,1063502.0,1108305.0,508735.0,2089426.0,2740900.0
1,37055.0,205455.0,413289.0,31883.0,10560.0,20543.0,91545.0,81300.0,61263.0,9463.0,458360.0,152686.0,16234.0,34064.0,25316.0,401890.0,951330.0,231258.0,37427.0,21319.0,2260528.0
2,17689.0,26645.0,23859.0,9811.0,1546.0,5445.0,3902.0,20993.0,5992.0,6077.0,29673.0,18938.0,12193.0,98473.0,12131.0,118306.0,142960.0,219837.0,4540.0,7966.0,549857.0
3,27930.0,6989.0,112033.0,4065.0,3382.0,5265.0,17363.0,28506.0,11431.0,1594.0,33502.0,20664.0,13205.0,40123.0,4512.0,66898.0,82111.0,51662.0,8624.0,19569.0,540647.0
4,14296.0,47178.0,31398.0,8291.0,4933.0,4955.0,37308.0,39281.0,2340.0,1015.0,46380.0,6969.0,2475.0,19998.0,20346.0,87911.0,46315.0,55608.0,7520.0,41727.0,257950.0
5,6113.0,66512.0,49884.0,14724.0,3208.0,3649.0,7962.0,13179.0,7473.0,1205.0,19650.0,4584.0,4072.0,8949.0,11486.0,95007.0,42799.0,82318.0,20783.0,53476.0,92083.0
6,2379.0,16708.0,33423.0,4372.0,1334.0,889.0,4490.0,11369.0,3471.0,260.0,8286.0,7580.0,2072.0,2957.0,2099.0,17689.0,24855.0,106716.0,19504.0,12731.0,25369.0
7,2877.0,82282.0,78322.0,553.0,3075.0,7796.0,16403.0,33551.0,3717.0,1699.0,23566.0,5252.0,5554.0,15131.0,2699.0,24831.0,12707.0,31157.0,13044.0,11915.0,28193.0
8,42226.0,54167.0,143431.0,12356.0,8315.0,10220.0,54671.0,67787.0,13771.0,2609.0,79882.0,27633.0,15680.0,60121.0,24858.0,154809.0,128426.0,107270.0,16144.0,61296.0,798597.0
9,8492.0,83220.0,83307.0,19096.0,4542.0,4538.0,12452.0,24548.0,10944.0,1465.0,27936.0,12164.0,6144.0,11906.0,13585.0,112696.0,67654.0,189034.0,40287.0,66207.0,117452.0
10,2877.0,82282.0,78322.0,553.0,3075.0,7796.0,16403.0,33551.0,3717.0,1699.0,23566.0,5252.0,5554.0,15131.0,2699.0,24831.0,12707.0,31157.0,13044.0,11915.0,28193.0
