,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,768373.0,272394.0,958012.0,867656.0,622105.0,1333577.0,260.0,5.0,1617312.0,65.0,67.0,999282.0,764997.0,1045160.0,1501202.0,899895.0,3073900.0,92152.0,1917981.0,208234.0,2502242.0
1,37488.0,135129.0,8321.0,30154.0,58900.0,115806.0,107.0,3.0,47788.0,17.0,6.0,71026.0,297430.0,9147.0,17887.0,68982.0,22316.0,83458.0,71252.0,6917.0,917565.0
2,16391.0,137546.0,8567.0,54696.0,4534.0,15481.0,38.0,2.0,8494.0,0.0,2.0,25826.0,15328.0,18513.0,21387.0,33111.0,54397.0,33598.0,76440.0,2879.0,140833.0
3,4866.0,14565.0,10416.0,158359.0,2868.0,33820.0,22.0,2.0,28396.0,2.0,1.0,34854.0,155209.0,13650.0,10792.0,7016.0,12541.0,17403.0,53891.0,1550.0,212959.0
4,11835.0,40988.0,7479.0,199122.0,7195.0,75534.0,16.0,0.0,27959.0,1.0,6.0,40599.0,66643.0,26350.0,29526.0,6260.0,2480.0,17602.0,43563.0,3795.0,164859.0
5,7631.0,35722.0,4682.0,68299.0,5056.0,25590.0,8.0,1.0,22127.0,1.0,5.0,27209.0,93600.0,20613.0,31770.0,5766.0,30821.0,19740.0,99840.0,6607.0,109872.0
6,1721.0,18788.0,7015.0,21196.0,2652.0,9394.0,5.0,0.0,2881.0,1.0,4.0,1519.0,13669.0,17127.0,16802.0,7628.0,8754.0,6967.0,34759.0,5436.0,70349.0
7,1429.0,12713.0,464.0,5479.0,1358.0,4107.0,3.0,0.0,2679.0,0.0,2.0,2822.0,15244.0,6825.0,6142.0,2753.0,5015.0,3940.0,29360.0,2672.0,27003.0
8,16701.0,55553.0,17895.0,357481.0,10063.0,109354.0,38.0,2.0,56355.0,3.0,7.0,75453.0,221852.0,40000.0,40318.0,13276.0,15021.0,35005.0,97454.0,5345.0,377818.0
9,9352.0,54510.0,11697.0,89495.0,7708.0,34984.0,13.0,1.0,25008.0,2.0,9.0,28728.0,107269.0,37740.0,48572.0,13394.0,39575.0,26707.0,134599.0,12043.0,180221.0
10,1429.0,12713.0,464.0,5479.0,1358.0,4107.0,3.0,0.0,2679.0,0.0,2.0,2822.0,15244.0,6825.0,6142.0,2753.0,5015.0,3940.0,29360.0,2672.0,27003.0
