,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,66337.0,172341.0,229037.0,42668.0,11055.0,218458.0,142332.0,92597.0,118273.0,84086.0,231511.0,102868.0,303627.0,170163.0,2075333.0,252741.0,658716.0,274818.0,2352701.0,441163.0,336210.0
1,14693.0,46946.0,13952.0,12804.0,8504.0,20162.0,29357.0,46341.0,89443.0,32639.0,13412.0,34078.0,38947.0,29925.0,410753.0,17506.0,391369.0,99980.0,443427.0,131861.0,87763.0
2,9143.0,18525.0,6594.0,4751.0,17653.0,4564.0,13704.0,3169.0,1948.0,22467.0,18194.0,1652.0,2070.0,1256.0,62151.0,5457.0,32141.0,4016.0,62057.0,13040.0,5659.0
3,14585.0,19812.0,6061.0,6618.0,15733.0,16848.0,5516.0,2771.0,13615.0,56311.0,3393.0,2404.0,7327.0,5793.0,126779.0,4029.0,45497.0,4119.0,29368.0,7469.0,7586.0
4,10811.0,6100.0,3702.0,2679.0,16783.0,17279.0,7131.0,4068.0,14075.0,12300.0,2725.0,6361.0,5769.0,6337.0,64078.0,5778.0,41797.0,4078.0,22725.0,7772.0,5054.0
5,13892.0,5611.0,2100.0,2598.0,8118.0,15626.0,4913.0,1572.0,5352.0,16187.0,6826.0,5894.0,3478.0,2951.0,124448.0,2132.0,16397.0,1674.0,13740.0,10539.0,6691.0
6,9333.0,2411.0,3126.0,7241.0,15270.0,19111.0,3584.0,1773.0,6699.0,14287.0,7124.0,3480.0,3344.0,2403.0,45960.0,2732.0,7882.0,4072.0,57797.0,6914.0,6440.0
7,6599.0,1947.0,1158.0,2078.0,5120.0,8343.0,4961.0,1507.0,3290.0,5309.0,3296.0,1098.0,1121.0,1960.0,37143.0,2398.0,2963.0,877.0,22239.0,6600.0,2842.0
8,25396.0,25912.0,9763.0,9297.0,32516.0,34127.0,12647.0,6839.0,27690.0,68611.0,6118.0,8765.0,13096.0,12130.0,190857.0,9807.0,87294.0,8197.0,52093.0,15241.0,12640.0
9,23225.0,8022.0,5226.0,9839.0,23388.0,34737.0,8497.0,3345.0,12051.0,30474.0,13950.0,9374.0,6822.0,5354.0,170408.0,4864.0,24279.0,5746.0,71537.0,17453.0,13131.0
10,6599.0,1947.0,1158.0,2078.0,5120.0,8343.0,4961.0,1507.0,3290.0,5309.0,3296.0,1098.0,1121.0,1960.0,37143.0,2398.0,2963.0,877.0,22239.0,6600.0,2842.0
